"","date","quarter","department","day","team","targeted_productivity","smv","wip","over_time","incentive","idle_time","idle_men","no_of_style_change","no_of_workers","actual_productivity"
"30","01/03/15","Quarter1","sweing","Saturday",5,0.8,11.61,659,7080,50,0,0,0,31.5,0.800148649
"31","01/03/15","Quarter1","sweing","Saturday",6,0.8,25.9,1152,6720,50,0,0,0,56,0.800125
"32","01/03/15","Quarter1","sweing","Saturday",7,0.8,25.9,1138,6720,38,0,0,0,56,0.800125
"33","01/03/15","Quarter1","sweing","Saturday",10,0.75,19.31,610,6480,56,0,0,0,54,0.787299691
"34","01/03/15","Quarter1","finishing ","Saturday",2,0.8,4.15,0,960,0,0,0,0,8,0.782447917
"35","01/03/15","Quarter1","sweing","Saturday",2,0.75,19.87,944,6600,45,0,0,0,55,0.75024303
"36","01/03/15","Quarter1","finishing ","Saturday",10,0.7,4.15,0,960,0,0,0,0,8,0.7018125
"37","01/03/15","Quarter1","sweing","Saturday",4,0.7,23.69,544,13800,0,0,0,0,60,0.700134038
"38","01/03/15","Quarter1","sweing","Saturday",9,0.7,28.08,1072,6900,40,0,0,0,57.5,0.699965217
"39","01/03/15","Quarter1","finishing ","Saturday",8,0.8,2.9,0,960,0,0,0,0,8,0.628333333
"40","01/03/15","Quarter1","finishing ","Saturday",7,0.8,3.94,0,960,0,0,0,0,8,0.6253125
"41","01/04/15","Quarter1","finishing ","Sunday",3,0.75,4.15,0,1560,0,0,0,0,8,0.991388889
"42","01/04/15","Quarter1","finishing ","Sunday",9,0.8,3.94,0,960,0,0,0,0,8,0.931645833
"43","01/04/15","Quarter1","finishing ","Sunday",1,0.8,3.94,0,960,0,0,0,0,8,0.915229167
"44","01/04/15","Quarter1","sweing","Sunday",6,0.8,11.61,539,6975,50,0,0,0,31,0.879714482
"45","01/04/15","Quarter1","finishing ","Sunday",4,0.8,3.94,0,6600,0,0,0,0,20,0.861679012
"46","01/04/15","Quarter1","sweing","Sunday",9,0.8,26.16,1278,7080,60,0,0,0,59,0.850569492
"47","01/04/15","Quarter1","sweing","Sunday",7,0.8,25.9,1227,7020,60,0,0,0,56.5,0.850436438
"48","01/04/15","Quarter1","sweing","Sunday",8,0.8,25.9,1039,6780,45,0,0,0,56.5,0.850345133
"49","01/04/15","Quarter1","sweing","Sunday",4,0.8,28.08,878,4260,50,0,0,0,55.5,0.800598058
"50","01/04/15","Quarter1","sweing","Sunday",1,0.8,26.16,1033,7080,63,0,0,0,59,0.800318644
"51","01/04/15","Quarter1","sweing","Sunday",2,0.8,28.08,782,6660,50,0,0,0,55.5,0.800237838
"52","01/04/15","Quarter1","sweing","Sunday",12,0.8,11.61,1216,6975,50,0,0,0,31,0.800030199
"53","01/04/15","Quarter1","finishing ","Sunday",2,0.8,3.94,0,960,0,0,0,0,8,0.792104167
"54","01/04/15","Quarter1","finishing ","Sunday",10,0.7,3.94,0,4320,0,0,0,0,18,0.759228395
"55","01/04/15","Quarter1","sweing","Sunday",11,0.75,19.31,513,6480,45,0,0,0,54,0.750348457
"56","01/04/15","Quarter1","sweing","Sunday",3,0.75,19.87,734,6600,45,0,0,0,55,0.75024303
"57","01/04/15","Quarter1","sweing","Sunday",10,0.7,28.08,1202,6900,40,0,0,0,57.5,0.699965217
"58","01/04/15","Quarter1","finishing ","Sunday",8,0.8,2.9,0,960,0,0,0,0,8,0.682708333
"59","01/04/15","Quarter1","finishing ","Sunday",7,0.8,2.9,0,960,0,0,0,0,8,0.667604167
"60","01/04/15","Quarter1","sweing","Sunday",5,0.7,45.67,884,6960,26,0,0,0,58,0.603432184
"61","01/04/15","Quarter1","finishing ","Sunday",11,0.75,4.15,0,960,0,0,0,0,8,0.345833333
"62","01/05/15","Quarter1","finishing ","Monday",1,0.8,3.94,0,1920,0,0,0,0,8,0.961059028
"63","01/05/15","Quarter1","finishing ","Monday",11,0.8,3.94,0,2400,0,0,0,0,10,0.939513889
"64","01/05/15","Quarter1","finishing ","Monday",4,0.8,3.94,0,3840,0,0,0,0,16,0.893663194
"65","01/05/15","Quarter1","finishing ","Monday",3,0.75,4.15,0,1920,0,0,0,0,8,0.875390625
"66","01/05/15","Quarter1","sweing","Monday",9,0.8,26.16,1227,7080,75,0,0,0,59,0.850569492
"67","01/05/15","Quarter1","finishing ","Monday",9,0.8,2.9,0,1920,0,0,0,0,8,0.820833333
"68","01/05/15","Quarter1","finishing ","Monday",2,0.8,3.94,0,960,0,0,0,0,8,0.804416667
"69","01/05/15","Quarter1","sweing","Monday",7,0.8,25.9,1255,6780,50,0,0,0,56.5,0.800684366
"70","01/05/15","Quarter1","sweing","Monday",8,0.8,25.9,1047,6780,38,0,0,0,56.5,0.800684366
"71","01/05/15","Quarter1","sweing","Monday",1,0.8,26.16,1138,7080,63,0,0,0,59,0.800318644
"72","01/05/15","Quarter1","sweing","Monday",11,0.8,19.31,678,4800,50,0,0,0,55,0.800250962
"73","01/05/15","Quarter1","sweing","Monday",6,0.8,11.61,712,7200,50,0,0,0,32,0.800246011
"74","01/05/15","Quarter1","sweing","Monday",12,0.8,11.61,1037,7200,50,0,0,0,32,0.800246011
"75","01/05/15","Quarter1","sweing","Monday",2,0.8,28.08,757,6900,50,0,0,0,57.5,0.800076522
"76","01/05/15","Quarter1","sweing","Monday",4,0.8,28.08,759,6900,50,0,0,0,57.5,0.800076522
"77","01/05/15","Quarter1","finishing ","Monday",10,0.75,2.9,0,960,0,0,0,0,8,0.763375
"78","01/05/15","Quarter1","finishing ","Monday",5,0.6,2.9,0,960,0,0,0,0,8,0.759270833
"79","01/05/15","Quarter1","sweing","Monday",10,0.75,28.08,1083,7020,45,0,0,0,58.5,0.7504
"80","01/05/15","Quarter1","sweing","Monday",3,0.75,19.87,944,6600,45,0,0,0,55,0.75024303
"81","01/05/15","Quarter1","finishing ","Monday",7,0.8,3.94,0,960,0,0,0,0,8,0.676666667
"82","01/05/15","Quarter1","finishing ","Monday",8,0.8,2.9,0,960,0,0,0,0,8,0.664583333
"83","01/05/15","Quarter1","sweing","Monday",5,0.6,21.98,666,6960,23,0,0,0,58,0.600028736
"84","01/06/15","Quarter1","finishing ","Tuesday",4,0.8,3.94,0,4440,0,0,0,0,18,0.966781346
"85","01/06/15","Quarter1","finishing ","Tuesday",1,0.8,3.94,0,1440,0,0,0,0,8,0.936496212
"86","01/06/15","Quarter1","finishing ","Tuesday",3,0.75,4.15,0,1800,0,0,0,0,10,0.899166667
"87","01/06/15","Quarter1","finishing ","Tuesday",11,0.8,4.15,0,2700,0,0,0,0,15,0.888686869
"88","01/06/15","Quarter1","finishing ","Tuesday",9,0.8,3.94,0,1440,0,0,0,0,8,0.858143939
"89","01/06/15","Quarter1","sweing","Tuesday",1,0.8,26.16,1187,10620,75,0,0,0,59,0.850502311
"90","01/06/15","Quarter1","sweing","Tuesday",9,0.8,26.16,1305,10620,75,0,0,0,59,0.850502311
"91","01/06/15","Quarter1","finishing ","Tuesday",10,0.75,3.94,0,1440,0,0,0,0,8,0.809640152
"92","01/06/15","Quarter1","finishing ","Tuesday",2,0.8,3.94,0,1440,0,0,0,0,8,0.805909091
"93","01/06/15","Quarter1","sweing","Tuesday",2,0.8,28.08,716,10350,50,0,0,0,57.5,0.800594466
"94","01/06/15","Quarter1","sweing","Tuesday",4,0.8,28.08,925,10350,50,0,0,0,57.5,0.800594466
"95","01/06/15","Quarter1","sweing","Tuesday",3,0.8,19.87,963,9900,50,0,0,0,55,0.800273829
"96","01/06/15","Quarter1","sweing","Tuesday",12,0.8,11.61,1101,5310,50,0,0,0,31.5,0.800140969
"97","01/06/15","Quarter1","sweing","Tuesday",7,0.8,25.9,1035,10170,38,0,0,0,56.5,0.800128721
"98","01/06/15","Quarter1","sweing","Tuesday",8,0.8,25.9,1083,10170,38,0,0,0,56.5,0.800128721
"99","01/06/15","Quarter1","sweing","Tuesday",6,0.8,11.61,910,4470,38,0,0,0,31.5,0.80007657
"100","01/06/15","Quarter1","sweing","Tuesday",10,0.75,28.08,1209,10530,45,0,0,0,58.5,0.750545455
"101","01/06/15","Quarter1","sweing","Tuesday",11,0.75,19.31,590,9900,45,0,0,0,55,0.750057851
"102","01/06/15","Quarter1","finishing ","Tuesday",8,0.8,2.9,0,1440,0,0,0,0,8,0.681060606
"103","01/06/15","Quarter1","sweing","Tuesday",5,0.65,21.98,808,10440,35,0,0,0,58,0.649983281
"104","01/06/15","Quarter1","finishing ","Tuesday",7,0.8,2.9,0,1440,0,0,0,0,8,0.61625
"105","01/07/15","Quarter1","finishing ","Wednesday",1,0.8,3.94,0,1440,0,0,0,0,8,0.951420455
"106","01/07/15","Quarter1","finishing ","Wednesday",9,0.8,3.94,0,1440,0,0,0,0,8,0.880530303
"107","01/07/15","Quarter1","sweing","Wednesday",1,0.8,26.16,1179,10620,75,0,0,0,59,0.850502311
"108","01/07/15","Quarter1","sweing","Wednesday",9,0.8,26.16,1324,10620,75,0,0,0,59,0.850502311
"109","01/07/15","Quarter1","sweing","Wednesday",8,0.8,25.9,1135,10170,60,0,0,0,56.5,0.850136766
"110","01/07/15","Quarter1","finishing ","Wednesday",3,0.75,4.15,0,2700,0,0,0,0,15,0.83
"111","01/07/15","Quarter1","finishing ","Wednesday",4,0.8,3.94,0,4440,0,0,0,0,18,0.827186544
"112","01/07/15","Quarter1","finishing ","Wednesday",2,0.8,3.94,0,1440,0,0,0,0,8,0.813371212
"113","01/07/15","Quarter1","finishing ","Wednesday",10,0.75,3.94,0,1440,0,0,0,0,8,0.805909091
"114","01/07/15","Quarter1","finishing ","Wednesday",7,0.8,2.9,0,1440,0,0,0,0,8,0.804640152
"115","01/07/15","Quarter1","sweing","Wednesday",2,0.8,28.08,776,10350,63,0,0,0,57.5,0.800594466
"116","01/07/15","Quarter1","sweing","Wednesday",4,0.8,28.08,990,10350,50,0,0,0,57.5,0.800594466
"117","01/07/15","Quarter1","sweing","Wednesday",6,0.8,11.41,986,5490,50,0,0,0,30.5,0.800343766
"118","01/07/15","Quarter1","sweing","Wednesday",3,0.8,19.87,924,9900,50,0,0,0,55,0.800273829
"119","01/07/15","Quarter1","sweing","Wednesday",12,0.8,11.61,1120,5670,50,0,0,0,31.5,0.800246753
"120","01/07/15","Quarter1","sweing","Wednesday",7,0.8,25.9,1066,10170,50,0,0,0,56.5,0.800128721
"121","01/07/15","Quarter1","sweing","Wednesday",10,0.75,28.08,1144,10530,69,0,0,0,58.5,0.8
"122","01/07/15","Quarter1","sweing","Wednesday",5,0.7,21.98,413,9720,40,0,0,0,58,0.700480831
"123","01/07/15","Quarter1","finishing ","Wednesday",8,0.8,2.9,0,1440,0,0,0,0,8,0.681060606
"124","01/07/15","Quarter1","finishing ","Wednesday",6,0.8,2.9,0,1800,0,0,0,0,10,0.666515152
"125","01/07/15","Quarter1","sweing","Wednesday",11,0.8,31.83,568,9900,40,0,0,0,55,0.412119835
"126","01/07/15","Quarter1","finishing ","Wednesday",5,0.7,4.15,0,1440,0,0,0,0,8,0.330113636
"127","01/08/15","Quarter2","finishing ","Thursday",1,0.8,3.94,0,1440,0,0,0,0,8,0.947689394
"128","01/08/15","Quarter2","finishing ","Thursday",4,0.8,3.94,0,12600,0,0,0,0,20,0.919905405
"129","01/08/15","Quarter2","sweing","Thursday",9,0.8,26.16,1216,10620,88,0,0,0,59,0.900215716
"130","01/08/15","Quarter2","finishing ","Thursday",9,0.8,3.94,0,1440,0,0,0,0,8,0.891723485
"131","01/08/15","Quarter2","sweing","Thursday",1,0.8,26.16,1189,10620,75,0,0,0,59,0.850502311
"132","01/08/15","Quarter2","sweing","Thursday",4,0.8,28.08,942,10530,75,0,0,0,58.5,0.850181818
"133","01/08/15","Quarter2","sweing","Thursday",7,0.8,25.9,1050,10170,60,0,0,0,56.5,0.850136766
"134","01/08/15","Quarter2","sweing","Thursday",8,0.8,25.9,1026,10170,60,0,0,0,56.5,0.850136766
"135","01/08/15","Quarter2","finishing ","Thursday",2,0.8,3.94,0,1440,0,0,0,0,8,0.835757576
"136","01/08/15","Quarter2","finishing ","Thursday",5,0.7,4.15,0,3840,0,0,0,0,8,0.821354167
"137","01/08/15","Quarter2","sweing","Thursday",2,0.8,28.08,783,10050,63,0,0,0,58.5,0.800497246
"138","01/08/15","Quarter2","sweing","Thursday",3,0.8,19.87,857,9900,50,0,0,0,55,0.800273829
"139","01/08/15","Quarter2","sweing","Thursday",12,0.8,11.61,548,15120,63,0,0,0,31.5,0.800107143
"140","01/08/15","Quarter2","sweing","Thursday",6,0.8,11.41,411,14640,50,0,0,0,30.5,0.800024932
"141","01/08/15","Quarter2","sweing","Thursday",10,0.75,28.08,1066,10530,69,0,0,0,58.5,0.8
"142","01/08/15","Quarter2","finishing ","Thursday",10,0.75,3.94,0,1440,0,0,0,0,8,0.779791667
"143","01/08/15","Quarter2","finishing ","Thursday",8,0.8,2.9,0,1440,0,0,0,0,8,0.735984848
"144","01/08/15","Quarter2","finishing ","Thursday",3,0.75,4.15,0,2160,0,0,0,0,12,0.712626263
"145","01/08/15","Quarter2","finishing ","Thursday",7,0.8,2.9,0,1440,0,0,0,0,8,0.681060606
"146","01/08/15","Quarter2","finishing ","Thursday",11,0.8,4.15,0,900,0,0,0,0,5,0.515606061
"147","01/08/15","Quarter2","sweing","Thursday",11,0.35,12.52,287,25920,38,0,0,0,54,0.349951389
"148","01/08/15","Quarter2","sweing","Thursday",5,0.7,42.41,724,10260,0,0,0,0,57,0.233705476
"149","01/10/15","Quarter2","finishing ","Saturday",1,0.8,3.94,0,2160,0,0,0,0,8,0.985
"150","01/10/15","Quarter2","finishing ","Saturday",3,0.75,4.15,0,2760,0,0,0,0,12,0.930340376
"151","01/10/15","Quarter2","finishing ","Saturday",4,0.8,3.94,0,6000,0,0,0,0,20,0.911589744
"152","01/10/15","Quarter2","finishing ","Saturday",9,0.8,3.94,0,1440,0,0,0,0,8,0.858143939
"153","01/10/15","Quarter2","sweing","Saturday",9,0.8,26.16,1122,10620,75,0,0,0,59,0.851174114
"154","01/10/15","Quarter2","sweing","Saturday",7,0.8,25.9,970,10170,60,0,0,0,56.5,0.850136766
"155","01/10/15","Quarter2","sweing","Saturday",8,0.8,25.9,1158,10170,60,0,0,0,56.5,0.850136766
"156","01/10/15","Quarter2","finishing ","Saturday",10,0.8,3.94,0,1440,0,0,0,0,8,0.846950758
"157","01/10/15","Quarter2","finishing ","Saturday",11,0.8,4.15,0,1440,0,0,0,0,8,0.817424242
"158","01/10/15","Quarter2","finishing ","Saturday",2,0.8,3.94,0,1440,0,0,0,0,8,0.817102273
"159","01/10/15","Quarter2","sweing","Saturday",4,0.8,28.08,660,10440,63,0,0,0,58,0.801028213
"160","01/10/15","Quarter2","sweing","Saturday",2,0.8,28.08,749,10350,63,0,0,0,57.5,0.800594466
"161","01/10/15","Quarter2","sweing","Saturday",12,0.8,11.61,893,4710,50,0,0,0,31.5,0.800346445
"162","01/10/15","Quarter2","sweing","Saturday",6,0.8,11.41,887,5490,50,0,0,0,30.5,0.800343766
"163","01/10/15","Quarter2","sweing","Saturday",1,0.8,26.16,1335,10620,63,0,0,0,59,0.800117103
"164","01/10/15","Quarter2","sweing","Saturday",10,0.8,28.08,1082,10530,63,0,0,0,58.5,0.8
"165","01/10/15","Quarter2","sweing","Saturday",3,0.75,19.87,1075,7080,45,0,0,0,56,0.750098351
"166","01/10/15","Quarter2","sweing","Saturday",11,0.5,12.52,749,9540,38,0,0,0,53,0.673245283
"167","01/10/15","Quarter2","finishing ","Saturday",7,0.8,2.9,0,1440,0,0,0,0,8,0.670075758
"168","01/10/15","Quarter2","finishing ","Saturday",8,0.8,2.9,0,1440,0,0,0,0,8,0.628882576
"169","01/10/15","Quarter2","sweing","Saturday",5,0.5,20.79,966,7680,0,0,0,0,56,0.388007813
"170","01/10/15","Quarter2","finishing ","Saturday",5,0.5,4.15,0,1440,0,0,0,0,8,0.337973485
"171","01/11/15","Quarter2","finishing ","Sunday",3,0.75,4.15,0,1440,0,0,0,0,8,0.93532197
"172","01/11/15","Quarter2","finishing ","Sunday",4,0.8,3.94,0,3600,0,0,0,0,20,0.925643939
"173","01/11/15","Quarter2","sweing","Sunday",9,0.8,26.16,1095,10620,88,0,0,0,59,0.900215716
"174","01/11/15","Quarter2","finishing ","Sunday",1,0.8,3.94,0,1440,0,0,0,0,8,0.873068182
"175","01/11/15","Quarter2","finishing ","Sunday",9,0.8,3.94,0,1440,0,0,0,0,8,0.858143939
"176","01/11/15","Quarter2","sweing","Sunday",1,0.8,26.16,1383,10620,75,0,0,0,59,0.850502311
"177","01/11/15","Quarter2","sweing","Sunday",7,0.8,25.9,1012,10170,45,0,0,0,56.5,0.850136766
"178","01/11/15","Quarter2","sweing","Sunday",8,0.8,25.9,1209,10170,60,0,0,0,56.5,0.850136766
"179","01/11/15","Quarter2","finishing ","Sunday",10,0.8,3.94,0,1440,0,0,0,0,8,0.828295455
"180","01/11/15","Quarter2","finishing ","Sunday",2,0.8,3.94,0,1440,0,0,0,0,8,0.820833333
"181","01/11/15","Quarter2","sweing","Sunday",6,0.8,11.41,887,5490,50,0,0,0,30.5,0.800343766
"182","01/11/15","Quarter2","sweing","Sunday",12,0.8,11.61,896,5670,50,0,0,0,31.5,0.800246753
"183","01/11/15","Quarter2","sweing","Sunday",2,0.8,28.08,805,10530,63,0,0,0,58.5,0.8
"184","01/11/15","Quarter2","sweing","Sunday",10,0.8,28.08,762,10530,38,0,0,0,58.5,0.8
"185","01/11/15","Quarter2","sweing","Sunday",3,0.8,19.87,1043,6420,0,0,0,0,55,0.690182815
"186","01/11/15","Quarter2","finishing ","Sunday",11,0.8,4.15,0,1440,0,0,0,0,8,0.668087121
"187","01/11/15","Quarter2","finishing ","Sunday",8,0.8,2.9,0,1440,0,0,0,0,8,0.653598485
"188","01/11/15","Quarter2","finishing ","Sunday",5,0.5,4.15,0,1440,0,0,0,0,8,0.609138258
"189","01/11/15","Quarter2","sweing","Sunday",11,0.6,12.52,831,9540,30,0,0,0,53,0.600229846
"190","01/11/15","Quarter2","finishing ","Sunday",6,0.8,2.9,0,1440,0,0,0,0,8,0.597348485
"191","01/11/15","Quarter2","finishing ","Sunday",7,0.8,2.9,0,1440,0,0,0,0,8,0.590435606
"192","01/11/15","Quarter2","sweing","Sunday",4,0.8,50.48,562,10440,0,0,0,0,58,0.473134796
"193","01/11/15","Quarter2","sweing","Sunday",5,0.6,20.79,1208,7980,0,0,0,0,57,0.452979626
"194","01/12/15","Quarter2","finishing ","Monday",1,0.8,3.94,0,1440,0,0,0,0,8,0.955151515
"195","01/12/15","Quarter2","finishing ","Monday",4,0.35,4.3,0,3240,0,0,0,0,18,0.942213805
"196","01/12/15","Quarter2","finishing ","Monday",3,0.8,4.15,0,1800,0,0,0,0,10,0.905454545
"197","01/12/15","Quarter2","finishing ","Monday",2,0.8,3.94,0,1440,0,0,0,0,8,0.880530303
"198","01/12/15","Quarter2","finishing ","Monday",9,0.8,3.94,0,1440,0,0,0,0,8,0.858143939
"199","01/12/15","Quarter2","sweing","Monday",1,0.8,26.16,1099,8220,75,0,0,0,59,0.850522167
"200","01/12/15","Quarter2","sweing","Monday",9,0.8,26.16,1093,10620,75,0,0,0,59,0.850502311
"201","01/12/15","Quarter2","sweing","Monday",7,0.8,25.9,1031,10170,60,0,0,0,56.5,0.850136766
"202","01/12/15","Quarter2","sweing","Monday",8,0.8,25.9,1233,10170,60,0,0,0,56.5,0.850136766
"203","01/12/15","Quarter2","finishing ","Monday",6,0.8,2.9,0,1440,0,0,0,0,8,0.817424242
"204","01/12/15","Quarter2","finishing ","Monday",5,0.65,4.15,0,1440,0,0,0,0,8,0.809564394
"205","01/12/15","Quarter2","sweing","Monday",3,0.8,19.87,941,9900,0,0,0,0,55,0.800273829
"206","01/12/15","Quarter2","sweing","Monday",6,0.8,11.41,843,5670,50,0,0,0,31.5,0.800181818
"207","01/12/15","Quarter2","sweing","Monday",12,0.8,11.61,760,4470,50,0,0,0,31.5,0.80007657
"208","01/12/15","Quarter2","sweing","Monday",2,0.8,28.08,737,10530,63,0,0,0,58.5,0.8
"209","01/12/15","Quarter2","finishing ","Monday",8,0.8,2.9,0,1440,0,0,0,0,8,0.725
"210","01/12/15","Quarter2","sweing","Monday",10,0.8,50.48,381,6930,45,0,0,0,58.5,0.688557555
"211","01/12/15","Quarter2","sweing","Monday",5,0.65,20.79,1141,8460,0,0,0,0,59,0.650040783
"212","01/12/15","Quarter2","sweing","Monday",11,0.65,12.52,1004,9540,44,0,0,0,53,0.64998056
"213","01/12/15","Quarter2","finishing ","Monday",7,0.8,2.9,0,1440,0,0,0,0,8,0.648106061
"214","01/12/15","Quarter2","finishing ","Monday",11,0.8,4.15,0,1440,0,0,0,0,8,0.640577652
"215","01/12/15","Quarter2","sweing","Monday",4,0.35,22.4,581,7350,0,0,0,0,51.5,0.35063299
"216","01/12/15","Quarter2","finishing ","Monday",10,0.8,3.94,0,1440,0,0,0,0,8,0.24625
"217","1/13/2015","Quarter2","finishing ","Tuesday",4,0.35,4.3,0,2160,0,0,0,0,12,0.952020202
"218","1/13/2015","Quarter2","finishing ","Tuesday",1,0.8,3.94,0,1440,0,0,0,0,2,0.951420455
"219","1/13/2015","Quarter2","finishing ","Tuesday",10,0.8,3.94,0,5400,0,0,0,0,20,0.912766667
"220","1/13/2015","Quarter2","finishing ","Tuesday",3,0.8,4.15,0,1620,0,0,0,0,9,0.901262626
"221","1/13/2015","Quarter2","finishing ","Tuesday",9,0.8,3.94,0,1440,0,0,0,0,8,0.858143939
"222","1/13/2015","Quarter2","sweing","Tuesday",1,0.8,26.16,1073,10620,75,0,0,0,59,0.850502311
"223","1/13/2015","Quarter2","sweing","Tuesday",9,0.8,26.16,1156,10620,75,0,0,0,59,0.850502311
"224","1/13/2015","Quarter2","sweing","Tuesday",8,0.8,25.9,1211,10260,60,0,0,0,57,0.850252525
"225","1/13/2015","Quarter2","sweing","Tuesday",7,0.8,25.9,1126,10170,60,0,0,0,56.5,0.850136766
"226","1/13/2015","Quarter2","finishing ","Tuesday",5,0.65,4.15,0,1440,0,0,0,0,8,0.821354167
"227","1/13/2015","Quarter2","finishing ","Tuesday",2,0.8,3.94,0,1440,0,0,0,0,8,0.805909091
"228","1/13/2015","Quarter2","sweing","Tuesday",6,0.8,11.61,1004,5670,50,0,0,0,31.5,0.800246753
"229","1/13/2015","Quarter2","sweing","Tuesday",12,0.8,11.61,1063,5670,50,0,0,0,31.5,0.800246753
"230","1/13/2015","Quarter2","sweing","Tuesday",2,0.8,28.08,723,10530,50,0,0,0,58.5,0.8
"231","1/13/2015","Quarter2","sweing","Tuesday",3,0.8,42.27,465,9900,54,0,0,0,55,0.705576584
"232","1/13/2015","Quarter2","finishing ","Tuesday",8,0.8,2.9,0,1440,0,0,0,0,8,0.681060606
"233","1/13/2015","Quarter2","finishing ","Tuesday",7,0.8,2.9,0,1440,0,0,0,0,8,0.670075758
"234","1/13/2015","Quarter2","finishing ","Tuesday",11,0.8,4.15,0,1440,0,0,0,0,8,0.601278409
"235","1/13/2015","Quarter2","sweing","Tuesday",11,0.7,27.13,530,9540,37,0,0,0,53,0.582301029
"236","1/13/2015","Quarter2","sweing","Tuesday",5,0.7,20.79,1297,10440,0,0,0,0,58,0.526810345
"237","1/13/2015","Quarter2","sweing","Tuesday",4,0.5,22.4,783,10170,23,0,0,0,56.5,0.500380799
"238","1/13/2015","Quarter2","sweing","Tuesday",10,0.35,22.4,715,10170,23,0,0,0,56.5,0.35020649
"239","1/14/2015","Quarter2","finishing ","Wednesday",11,0.8,4.15,0,1980,0,0,0,0,7,0.934607438
"240","1/14/2015","Quarter2","finishing ","Wednesday",4,0.35,4.3,0,2700,0,0,0,0,8,0.908080808
"241","1/14/2015","Quarter2","sweing","Wednesday",7,0.8,25.9,1150,10170,70,0,0,0,56.5,0.900144811
"242","1/14/2015","Quarter2","finishing ","Wednesday",1,0.8,3.94,0,1440,0,0,0,0,8,0.891723485
"243","1/14/2015","Quarter2","finishing ","Wednesday",5,0.65,4.15,0,1440,0,0,0,0,15,0.864583333
"244","1/14/2015","Quarter2","finishing ","Wednesday",9,0.8,3.94,0,1440,0,0,0,0,8,0.858143939
"245","1/14/2015","Quarter2","sweing","Wednesday",9,0.8,26.16,1232,10620,75,0,0,0,59,0.850502311
"246","1/14/2015","Quarter2","sweing","Wednesday",8,0.8,25.9,1218,10170,60,0,0,0,56.5,0.850136766
