DEPARTMENT,TEAM,TARGETED_PRODUCTIVITY,SMV,WIP,OVER_TIME,INCENTIVE,IDLE_TIME,IDLE_MEN,NO_OF_STYLE_CHANGE,NO_OF_WORKERS,ACTUAL_PRODUCTIVITY
finishing,7,0.8,2.9,0,1440,0,0,0,0,8.0,0.804640152
sweing,7,0.8,25.9,1066,10170,50,0,0,0,56.5,0.800128721
finishing,8,0.8,2.9,0,1440,0,0,0,0,8.0,0.681060606
sweing,8,0.8,25.9,1135,10170,60,0,0,0,56.5,0.850136766
finishing,9,0.8,3.94,0,1440,0,0,0,0,8.0,0.880530303
sweing,9,0.8,26.16,1324,10620,75,0,0,0,59.0,0.850502311
finishing,10,0.75,3.94,0,1440,0,0,0,0,8.0,0.805909091
sweing,10,0.75,28.08,1144,10530,69,0,0,0,58.5,0.8
sweing,11,0.8,31.83,568,9900,40,0,0,0,55.0,0.412119835
sweing,12,0.8,11.61,1120,5670,50,0,0,0,31.5,0.800246753
finishing,1,0.8,3.94,0,1440,0,0,0,0,8.0,0.947689394
sweing,1,0.8,26.16,1189,10620,75,0,0,0,59.0,0.850502311
finishing,2,0.8,3.94,0,1440,0,0,0,0,8.0,0.835757576
sweing,2,0.8,28.08,783,10050,63,0,0,0,58.5,0.800497246
finishing,3,0.75,4.15,0,2160,0,0,0,0,12.0,0.712626263
sweing,3,0.8,19.87,857,9900,50,0,0,0,55.0,0.800273829
finishing,4,0.8,3.94,0,12600,0,0,0,0,20.0,0.919905405
sweing,4,0.8,28.08,942,10530,75,0,0,0,58.5,0.850181818
finishing,5,0.7,4.15,0,3840,0,0,0,0,8.0,0.821354167
sweing,5,0.7,42.41,724,10260,0,0,0,0,57.0,0.233705476
sweing,6,0.8,11.41,411,14640,50,0,0,0,30.5,0.800024932
finishing,7,0.8,2.9,0,1440,0,0,0,0,8.0,0.681060606
sweing,7,0.8,25.9,1050,10170,60,0,0,0,56.5,0.850136766
finishing,8,0.8,2.9,0,1440,0,0,0,0,8.0,0.735984848
sweing,8,0.8,25.9,1026,10170,60,0,0,0,56.5,0.850136766
finishing,9,0.8,3.94,0,1440,0,0,0,0,8.0,0.891723485
sweing,9,0.8,26.16,1216,10620,88,0,0,0,59.0,0.900215716
finishing,10,0.75,3.94,0,1440,0,0,0,0,8.0,0.779791667
sweing,10,0.75,28.08,1066,10530,69,0,0,0,58.5,0.8
finishing,11,0.8,4.15,0,900,0,0,0,0,5.0,0.515606061
finishing,1,0.8,3.94,0,2160,0,0,0,0,8.0,0.985
sweing,1,0.8,26.16,1335,10620,63,0,0,0,59.0,0.800117103
finishing,2,0.8,3.94,0,1440,0,0,0,0,8.0,0.817102273
sweing,2,0.8,28.08,749,10350,63,0,0,0,57.5,0.800594466
finishing,3,0.75,4.15,0,2760,0,0,0,0,12.0,0.930340376
sweing,3,0.75,19.87,1075,7080,45,0,0,0,56.0,0.750098351
finishing,4,0.8,3.94,0,6000,0,0,0,0,20.0,0.911589744
sweing,4,0.8,28.08,660,10440,63,0,0,0,58.0,0.801028213
sweing,6,0.8,11.41,887,5490,50,0,0,0,30.5,0.800343766
finishing,7,0.8,2.9,0,1440,0,0,0,0,8.0,0.670075758
sweing,7,0.8,25.9,970,10170,60,0,0,0,56.5,0.850136766
finishing,8,0.8,2.9,0,1440,0,0,0,0,8.0,0.628882576
sweing,8,0.8,25.9,1158,10170,60,0,0,0,56.5,0.850136766
finishing,9,0.8,3.94,0,1440,0,0,0,0,8.0,0.858143939
sweing,9,0.8,26.16,1122,10620,75,0,0,0,59.0,0.851174114
finishing,10,0.8,3.94,0,1440,0,0,0,0,8.0,0.846950758
sweing,10,0.8,28.08,1082,10530,63,0,0,0,58.5,0.8
finishing,11,0.8,4.15,0,1440,0,0,0,0,8.0,0.817424242
sweing,12,0.8,11.61,893,4710,50,0,0,0,31.5,0.800346445
finishing,1,0.8,3.94,0,1440,0,0,0,0,8.0,0.873068182
sweing,1,0.8,26.16,1383,10620,75,0,0,0,59.0,0.850502311
finishing,2,0.8,3.94,0,1440,0,0,0,0,8.0,0.820833333
sweing,2,0.8,28.08,805,10530,63,0,0,0,58.5,0.8
finishing,3,0.75,4.15,0,1440,0,0,0,0,8.0,0.93532197
sweing,3,0.8,19.87,1043,6420,0,0,0,0,55.0,0.690182815
finishing,4,0.8,3.94,0,3600,0,0,0,0,20.0,0.925643939
sweing,4,0.8,50.48,562,10440,0,0,0,0,58.0,0.473134796
sweing,5,0.6,20.79,1208,7980,0,0,0,0,57.0,0.452979626
finishing,6,0.8,2.9,0,1440,0,0,0,0,8.0,0.597348485
sweing,6,0.8,11.41,887,5490,50,0,0,0,30.5,0.800343766
finishing,7,0.8,2.9,0,1440,0,0,0,0,8.0,0.590435606
sweing,7,0.8,25.9,1012,10170,45,0,0,0,56.5,0.850136766
finishing,8,0.8,2.9,0,1440,0,0,0,0,8.0,0.653598485
sweing,8,0.8,25.9,1209,10170,60,0,0,0,56.5,0.850136766
finishing,9,0.8,3.94,0,1440,0,0,0,0,8.0,0.858143939
sweing,9,0.8,26.16,1095,10620,88,0,0,0,59.0,0.900215716
finishing,10,0.8,3.94,0,1440,0,0,0,0,8.0,0.828295455
sweing,10,0.8,28.08,762,10530,38,0,0,0,58.5,0.8
finishing,11,0.8,4.15,0,1440,0,0,0,0,8.0,0.668087121
sweing,11,0.6,12.52,831,9540,30,0,0,0,53.0,0.600229846
sweing,12,0.8,11.61,896,5670,50,0,0,0,31.5,0.800246753
finishing,1,0.8,3.94,0,1440,0,0,0,0,8.0,0.955151515
sweing,1,0.8,26.16,1099,8220,75,0,0,0,59.0,0.850522167
finishing,2,0.8,3.94,0,1440,0,0,0,0,8.0,0.880530303
sweing,2,0.8,28.08,737,10530,63,0,0,0,58.5,0.8
finishing,3,0.8,4.15,0,1800,0,0,0,0,10.0,0.905454545
sweing,3,0.8,19.87,941,9900,0,0,0,0,55.0,0.800273829
finishing,5,0.65,4.15,0,1440,0,0,0,0,8.0,0.809564394
sweing,5,0.65,20.79,1141,8460,0,0,0,0,59.0,0.650040783
finishing,6,0.8,2.9,0,1440,0,0,0,0,8.0,0.817424242
sweing,6,0.8,11.41,843,5670,50,0,0,0,31.5,0.800181818
finishing,7,0.8,2.9,0,1440,0,0,0,0,8.0,0.648106061
sweing,7,0.8,25.9,1031,10170,60,0,0,0,56.5,0.850136766
finishing,8,0.8,2.9,0,1440,0,0,0,0,8.0,0.725
sweing,8,0.8,25.9,1233,10170,60,0,0,0,56.5,0.850136766
finishing,9,0.8,3.94,0,1440,0,0,0,0,8.0,0.858143939
sweing,9,0.8,26.16,1093,10620,75,0,0,0,59.0,0.850502311
finishing,10,0.8,3.94,0,1440,0,0,0,0,8.0,0.24625
sweing,10,0.8,50.48,381,6930,45,0,0,0,58.5,0.688557555
finishing,11,0.8,4.15,0,1440,0,0,0,0,8.0,0.640577652
sweing,11,0.65,12.52,1004,9540,44,0,0,0,53.0,0.64998056
sweing,12,0.8,11.61,760,4470,50,0,0,0,31.5,0.80007657
finishing,1,0.8,3.94,0,1440,0,0,0,0,2.0,0.951420455
sweing,1,0.8,26.16,1073,10620,75,0,0,0,59.0,0.850502311
finishing,2,0.8,3.94,0,1440,0,0,0,0,8.0,0.805909091
sweing,2,0.8,28.08,723,10530,50,0,0,0,58.5,0.8
finishing,3,0.8,4.15,0,1620,0,0,0,0,9.0,0.901262626
sweing,3,0.8,42.27,465,9900,54,0,0,0,55.0,0.705576584
finishing,5,0.65,4.15,0,1440,0,0,0,0,8.0,0.821354167
sweing,5,0.7,20.79,1297,10440,0,0,0,0,58.0,0.526810345
sweing,6,0.8,11.61,1004,5670,50,0,0,0,31.5,0.800246753
finishing,7,0.8,2.9,0,1440,0,0,0,0,8.0,0.670075758
sweing,7,0.8,25.9,1126,10170,60,0,0,0,56.5,0.850136766
finishing,8,0.8,2.9,0,1440,0,0,0,0,8.0,0.681060606
sweing,8,0.8,25.9,1211,10260,60,0,0,0,57.0,0.850252525
finishing,9,0.8,3.94,0,1440,0,0,0,0,8.0,0.858143939
sweing,9,0.8,26.16,1156,10620,75,0,0,0,59.0,0.850502311
finishing,10,0.8,3.94,0,5400,0,0,0,0,20.0,0.912766667
finishing,11,0.8,4.15,0,1440,0,0,0,0,8.0,0.601278409
sweing,11,0.7,27.13,530,9540,37,0,0,0,53.0,0.582301029
sweing,12,0.8,11.61,1063,5670,50,0,0,0,31.5,0.800246753
finishing,1,0.8,3.94,0,1440,0,0,0,0,8.0,0.891723485
sweing,1,0.8,26.16,1092,10620,63,0,0,0,59.0,0.800117103
finishing,2,0.8,3.94,0,1260,0,0,0,0,8.0,0.247316017
sweing,2,0.8,51.02,1086,4260,27,0,0,0,57.0,0.311207464
finishing,3,0.8,4.15,0,1440,0,0,0,0,7.0,0.820833333
sweing,4,0.6,22.4,816,5100,23,0,0,0,57.0,0.600369686
finishing,5,0.65,4.15,0,1440,0,0,0,0,15.0,0.864583333
sweing,5,0.7,20.79,965,7320,0,0,0,0,58.0,0.700095563
sweing,6,0.8,11.61,972,5670,38,0,0,0,31.5,0.800246753
finishing,7,0.8,2.9,0,1440,0,0,0,0,8.0,0.837594697
sweing,7,0.8,25.9,1150,10170,70,0,0,0,56.5,0.900144811
finishing,8,0.8,2.9,0,1440,0,0,0,0,8.0,0.667329545
sweing,8,0.8,25.9,1218,10170,60,0,0,0,56.5,0.850136766
finishing,9,0.8,3.94,0,1440,0,0,0,0,8.0,0.858143939
sweing,9,0.8,26.16,1232,10620,75,0,0,0,59.0,0.850502311
finishing,10,0.8,3.94,0,1260,0,0,0,0,8.0,0.332359307
finishing,11,0.8,4.15,0,1980,0,0,0,0,7.0,0.934607438
sweing,12,0.8,11.61,1159,2970,50,0,0,0,31.5,0.800313433
finishing,1,0.8,3.94,0,1440,0,0,0,0,8.0,0.884261364
sweing,1,0.8,26.16,1160,10620,75,0,0,0,59.0,0.850502311
sweing,4,0.65,22.52,872,10080,26,0,0,0,56.0,0.650130952
finishing,5,0.65,4.15,0,1440,0,0,0,0,8.0,0.860653409
sweing,5,0.7,20.79,391,10440,0,0,0,0,58.0,0.700060345
sweing,6,0.8,11.61,1084,4950,38,0,0,0,31.5,0.80003139
finishing,7,0.8,2.9,0,1440,0,0,0,0,8.0,0.689299242
sweing,7,0.8,25.9,1281,10170,60,0,0,0,56.5,0.850136766
finishing,8,0.8,2.9,0,1440,0,0,0,0,8.0,0.606912879
sweing,8,0.8,25.9,1177,8970,60,0,0,0,56.5,0.850415628
finishing,9,0.8,3.94,0,1440,0,0,0,0,8.0,0.858143939
sweing,9,0.8,26.16,1369,10620,63,0,0,0,59.0,0.800117103
finishing,10,0.8,3.94,0,3420,0,0,0,0,19.0,0.953110048
sweing,10,0.6,22.52,1076,10170,23,0,0,0,56.5,0.600291767
sweing,12,0.8,11.61,1216,4950,50,0,0,0,31.5,0.80003139
finishing,1,0.8,3.94,0,1440,0,0,0,0,8.0,0.884261364
sweing,1,0.8,48.68,171,10620,63,0,0,0,59.0,0.800117103
finishing,2,0.8,3.94,0,1800,0,0,0,0,10.0,0.980909091
sweing,2,0.6,22.94,865,6570,23,0,0,0,56.5,0.77011398
sweing,3,0.6,22.52,1140,10170,30,0,0,0,56.5,0.600291767
sweing,4,0.7,22.52,825,10170,50,0,0,0,56.5,0.7005417
finishing,5,0.65,4.15,0,2700,0,0,0,0,15.0,0.98719697
sweing,5,0.7,41.19,1052,10440,21,0,0,0,58.0,0.452012539
finishing,6,0.8,2.9,0,900,0,0,0,0,5.0,0.465757576
sweing,6,0.8,11.41,1067,5490,63,0,0,0,30.5,0.800343766
finishing,7,0.8,2.9,0,1440,0,0,0,0,8.0,0.661837121
sweing,7,0.8,25.9,1396,10170,50,0,0,0,56.5,0.800128721
finishing,8,0.8,2.9,0,1440,0,0,0,0,8.0,0.675568182
sweing,8,0.8,25.9,1292,10170,50,0,0,0,56.5,0.800128721
finishing,9,0.8,3.94,0,1800,0,0,0,0,10.0,0.82680303
sweing,9,0.8,26.16,1128,10620,63,0,0,0,59.0,0.800117103
finishing,10,0.8,3.94,0,1440,0,0,0,0,8.0,0.974621212
sweing,10,0.65,22.52,1163,9720,35,0,0,0,54.0,0.650198653
finishing,11,0.8,4.15,0,1260,0,0,0,0,7.0,0.313852814
sweing,11,0.6,14.89,1027,10080,38,0,0,0,56.0,0.600273268
sweing,12,0.8,11.61,1039,5670,63,0,0,0,31.5,0.800246753
sweing,1,0.8,49.1,1381,10350,24,0,0,0,57.5,0.403242161
sweing,2,0.65,22.94,1025,10170,26,0,0,0,56.5,0.650243497
sweing,3,0.65,22.52,1138,10170,35,0,0,0,56.5,0.650416734
sweing,4,0.7,22.52,882,10170,50,0,0,0,56.5,0.7005417
finishing,5,0.6,4.15,0,1440,0,0,0,0,8.0,0.852793561
sweing,5,0.6,20.4,1031,10440,30,0,0,0,58.0,0.600062696
finishing,6,0.8,2.9,0,1800,0,0,0,0,10.0,0.804848485
sweing,6,0.8,11.41,1140,5490,63,0,0,0,30.5,0.800343766
finishing,7,0.8,2.9,0,1440,0,0,0,0,8.0,0.692045455
sweing,7,0.8,48.84,624,10170,50,0,0,0,56.5,0.800128721
finishing,8,0.8,2.9,0,1440,0,0,0,0,8.0,0.639867424
sweing,8,0.8,25.9,1288,10170,38,0,0,0,56.5,0.800128721
finishing,9,0.8,3.94,0,1800,0,0,0,0,10.0,0.582045455
sweing,9,0.8,26.16,1381,3660,50,0,0,0,59.0,0.800015009
finishing,10,0.7,3.94,0,1440,0,0,0,0,8.0,0.235795455
sweing,10,0.7,22.52,1002,10080,40,0,0,0,56.0,0.700094156
finishing,11,0.65,4.15,0,2160,0,0,0,0,12.0,0.838383838
sweing,11,0.65,14.89,1140,10260,44,0,0,0,57.0,0.650299575
sweing,12,0.8,26.87,585,5670,56,0,0,0,31.5,0.662255892
sweing,2,0.7,22.94,1006,10170,38,0,0,0,56.5,0.750517565
sweing,3,0.7,22.52,1095,10170,50,0,0,0,56.5,0.750062751
finishing,4,0.7,4.3,0,5040,0,0,0,0,28.0,0.977272727
sweing,4,0.7,22.52,930,10260,63,0,0,0,57.0,0.750068049
finishing,5,0.65,4.15,0,1440,0,0,0,0,8.0,0.958901515
sweing,5,0.65,20.4,1255,8280,35,0,0,0,58.0,0.650066445
sweing,6,0.8,11.41,1028,4380,50,0,0,0,31.0,0.800358775
sweing,7,0.8,48.84,1040,10260,30,0,0,0,57.0,0.576460393
finishing,8,0.8,2.9,0,1440,0,0,0,0,8.0,0.683806818
sweing,8,0.8,25.9,1380,3630,50,0,0,0,56.5,0.800162602
finishing,9,0.8,3.94,0,1800,0,0,0,0,10.0,0.964106061
sweing,9,0.8,26.16,1196,10620,63,0,0,0,59.0,0.800117103
finishing,10,0.7,3.94,0,1440,0,0,0,0,8.0,0.538399621
sweing,10,0.7,22.52,938,10080,63,0,0,0,56.0,0.750057359
finishing,11,0.7,4.15,0,1440,0,0,0,0,8.0,0.409545455
sweing,11,0.7,14.89,1484,10260,50,0,0,0,57.0,0.700170388
finishing,12,0.8,2.9,0,1440,0,0,0,0,8.0,0.793844697
sweing,2,0.7,22.94,1363,10260,50,0,0,0,57.0,0.750031898
sweing,3,0.7,22.52,1134,8460,50,0,0,0,57.0,0.750037968
sweing,4,0.7,22.52,983,10260,63,0,0,0,57.0,0.750068049
finishing,5,0.7,4.15,0,1440,0,0,0,0,8.0,1.033570076
sweing,5,0.7,20.4,1352,10260,50,0,0,0,57.0,0.700063796
sweing,6,0.8,11.41,1047,5580,63,0,0,0,31.0,0.800261486
finishing,8,0.8,2.9,0,1440,0,0,0,0,8.0,0.639867424
sweing,8,0.8,25.9,1434,10170,50,0,0,0,56.5,0.800128721
finishing,9,0.8,3.94,0,1800,0,0,0,0,10.0,0.72830303
sweing,9,0.8,26.16,399,10620,63,0,0,0,59.0,0.800117103
sweing,10,0.7,22.52,1108,10080,63,0,0,0,56.0,0.750057359
finishing,11,0.7,4.15,0,2700,0,0,0,0,15.0,0.362666667
sweing,11,0.7,14.89,1501,10260,50,0,0,0,57.0,0.700170388
finishing,1,0.65,3.94,0,2400,0,0,0,0,8.0,0.505128205
sweing,1,0.65,22.94,1595,10260,34,0,0,0,57.0,0.700029771
finishing,2,0.7,3.94,0,5100,0,0,0,0,17.0,0.912202112
sweing,2,0.7,22.94,1422,10500,60,0,0,0,57.0,0.800415742
sweing,3,0.7,22.52,1139,10260,63,0,0,0,57.0,0.750068049
finishing,4,0.75,4.3,0,6000,0,0,0,0,20.0,0.978525641
sweing,4,0.75,22.52,825,10080,94,0,0,0,56.0,0.900556277
finishing,5,0.7,4.15,0,2400,0,0,0,0,8.0,0.758173077
sweing,5,0.7,20.4,1404,10440,50,0,0,0,58.0,0.750344828
sweing,6,0.8,11.61,916,5760,75,0,0,0,89.0,0.850410511
finishing,8,0.8,2.9,0,2400,0,0,0,0,8.0,0.594871795
sweing,8,0.8,25.9,562,7470,38,0,0,0,56.5,0.800436542
finishing,9,0.8,3.94,0,2400,0,0,0,0,8.0,0.827147436
sweing,9,0.8,54.56,757,4140,29,0,0,0,58.0,0.520237649
sweing,10,0.7,22.52,1206,10080,75,0,0,0,56.0,0.800020563
finishing,11,0.7,4.15,0,2700,0,0,0,0,9.0,0.470769231
sweing,11,0.7,14.89,1735,10260,50,0,0,0,57.0,0.700170388
sweing,12,0.6,15.26,1245,6360,23,0,0,0,34.0,0.60017284
finishing,1,0.7,3.94,0,15000,0,0,0,0,25.0,0.649662222
sweing,1,0.7,22.94,1384,12180,63,0,0,0,57.0,0.750162367
finishing,2,0.7,3.94,0,15000,0,0,0,0,25.0,0.649662222
sweing,2,0.7,22.94,1510,10620,60,0,0,0,57.0,0.800302791
finishing,3,0.7,3.94,0,12000,0,0,0,0,20.0,0.460578704
sweing,3,0.7,22.52,1244,10260,63,0,0,0,57.0,0.750068049
finishing,4,0.75,4.3,0,9000,0,0,0,0,15.0,0.670216049
sweing,4,0.75,22.52,759,10080,81,0,0,0,56.0,0.849983766
finishing,5,0.7,4.15,0,9000,0,0,0,0,15.0,0.742901235
sweing,5,0.7,20.4,1480,10440,40,0,0,0,58.0,0.700250784
finishing,6,0.8,2.9,0,4800,0,0,0,0,8.0,0.626822917
sweing,6,0.8,11.61,955,6360,63,0,0,0,32.0,0.800191989
finishing,7,0.6,3.94,0,6000,0,0,0,0,10.0,0.957638889
sweing,7,0.6,22.52,1859,10260,23,0,0,0,57.0,0.60041361
finishing,8,0.8,2.9,0,4800,0,0,0,0,8.0,0.397743056
sweing,8,0.8,40.99,980,10770,30,0,0,0,56.5,0.555500132
finishing,10,0.75,3.94,0,8400,0,0,0,0,14.0,0.940701058
sweing,10,0.75,22.52,1328,10080,55,0,0,0,56.0,0.800020563
sweing,11,0.7,14.89,1863,10260,50,0,0,0,57.0,0.700170388
finishing,12,0.6,4.08,0,5400,0,0,0,0,9.0,0.327407407
sweing,12,0.6,15.26,1492,6960,23,0,0,0,34.0,0.600436426
finishing,1,0.7,3.94,0,1440,0,0,0,0,8.0,0.578314394
